CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
A553;BAGNARIA ARSA;5;14/03/2024;23/09/2024;UD;Friuli venezia giulia;187171_CIMUNIC-06ud24a553d.pdf;187171_CIMUNIC-06ud24a553dAM.pdf;""
C389;CAVAZZO CARNICO;30;15/10/2024;30/10/2024;UD;Friuli venezia giulia;189102_CIMUNIC-06ud24c389d.pdf;189102_CIMUNIC-06ud24c389dAM.pdf;""
C494;CERCIVENTO;36;21/12/2023;11/10/2024;UD;Friuli venezia giulia;188487_CIMUNIC-06ud24c494d.pdf;188487_CIMUNIC-06ud24c494dAM.pdf;""
C918;COMEGLIANS;37;20/12/2023;30/05/2024;UD;Friuli venezia giulia;184599_CIMUNIC-06ud24c918d.pdf;184599_CIMUNIC-06ud24c918dAM.pdf;""
D408;ENEMONZO;36;20/12/2023;29/04/2024;UD;Friuli venezia giulia;183346_CIMUNIC-06ud24d408d.pdf;183346_CIMUNIC-06ud24d408dAM.pdf;""
D718;FORNI AVOLTRI;27;16/12/2023;08/01/2024;UD;Friuli venezia giulia;178532_CIMUNIC-06ud24d718d.pdf;178532_CIMUNIC-06ud24d718dAM.pdf;""
D719;FORNI DI SOPRA;58;22/12/2023;28/05/2024;UD;Friuli venezia giulia;184471_CIMUNIC-06ud24d719d.pdf;184471_CIMUNIC-06ud24d719dAM.pdf;""
D720;FORNI DI SOTTO;47;27/12/2023;28/05/2024;UD;Friuli venezia giulia;184470_CIMUNIC-06ud24d720d.pdf;184470_CIMUNIC-06ud24d720dAM.pdf;""
E476;LAUCO;46;23/11/2023;08/01/2024;UD;Friuli venezia giulia;178386_CIMUNIC-06ud24e476d.pdf;178386_CIMUNIC-06ud24e476dAM.pdf;""
E820;MAGNANO IN RIVIERA;8;22/02/2024;29/02/2024;UD;Friuli venezia giulia;181588_CIMUNIC-06ud24e820d.pdf;181588_CIMUNIC-06ud24e820dAM.pdf;""
E899;MANZANO;36;06/10/2023;24/01/2024;UD;Friuli venezia giulia;179907_CIMUNIC-06ud24e899d.pdf;179907_CIMUNIC-06ud24e899dAM.pdf;""
G198;OVARO;83;19/12/2023;21/05/2024;UD;Friuli venezia giulia;184200_CIMUNIC-06ud24g198d.pdf;184200_CIMUNIC-06ud24g198dAM.pdf;""
G300;PALUZZA;42;22/12/2023;23/09/2024;UD;Friuli venezia giulia;187201_CIMUNIC-06ud24g300d.pdf;187201_CIMUNIC-06ud24g300dAM.pdf;""
H002;PRATO CARNICO;35;20/12/2023;09/01/2024;UD;Friuli venezia giulia;179032_CIMUNIC-06ud24h002d.pdf;179032_CIMUNIC-06ud24h002dAM.pdf;""
H038;PREONE;29;30/12/2023;30/07/2024;UD;Friuli venezia giulia;185932_CIMUNIC-06ud24h038d.pdf;185932_CIMUNIC-06ud24h038dAM.pdf;""
H200;RAVEO;31;28/12/2023;01/10/2024;UD;Friuli venezia giulia;187430_CIMUNIC-06ud24h200d.pdf;187430_CIMUNIC-06ud24h200dAM.pdf;""
H289;RIGOLATO;55;22/12/2023;01/10/2024;UD;Friuli venezia giulia;187451_CIMUNIC-06ud24h289d.pdf;187451_CIMUNIC-06ud24h289dAM.pdf;""
I464;SAURIS;32;30/12/2023;10/07/2024;UD;Friuli venezia giulia;185651_CIMUNIC-06ud24i464d.pdf;185651_CIMUNIC-06ud24i464dAM.pdf;""
I777;SOCCHIEVE;44;28/12/2023;07/10/2024;UD;Friuli venezia giulia;188109_CIMUNIC-06ud24i777d.pdf;188109_CIMUNIC-06ud24i777dAM.pdf;""
L018;SUTRIO;40;28/11/2023;28/05/2024;UD;Friuli venezia giulia;184192_CIMUNIC-06ud24l018d.pdf;184192_CIMUNIC-06ud24l018dAM.pdf;""
L195;TOLMEZZO;45;15/10/2024;30/10/2024;UD;Friuli venezia giulia;189101_CIMUNIC-06ud24l195d.pdf;189101_CIMUNIC-06ud24l195dAM.pdf;""
M399;TREPPO LIGOSULLO;40;07/12/2023;07/08/2024;UD;Friuli venezia giulia;186155_CIMUNIC-06ud24m399d.pdf;186155_CIMUNIC-06ud24m399dAM.pdf;""
L801;VERZEGNIS;33;03/10/2024;30/10/2024;UD;Friuli venezia giulia;189103_CIMUNIC-06ud24l801d.pdf;189103_CIMUNIC-06ud24l801dAM.pdf;""
L909;VILLA SANTINA;50;27/12/2023;01/10/2024;UD;Friuli venezia giulia;187644_CIMUNIC-06ud24l909d.pdf;187644_CIMUNIC-06ud24l909dAM.pdf;""
M200;ZUGLIO;41;22/12/2023;12/01/2024;UD;Friuli venezia giulia;179401_CIMUNIC-06ud24m200d.pdf;179401_CIMUNIC-06ud24m200dAM.pdf;""
B543;CAMPOLI APPENNINO;26;27/12/2023;24/01/2024;FR;Lazio;180155_CIMUNIC-07fr24b543d.pdf;180155_CIMUNIC-07fr24b543dAM.pdf;""
I302;SANT'APOLLINARE;26;22/12/2023;15/11/2024;FR;Lazio;189387_CIMUNIC-07fr24i302d.pdf;189387_CIMUNIC-07fr24i302dAM.pdf;""
L780;VEROLI;51;18/12/2023;09/04/2024;FR;Lazio;182823_CIMUNIC-07fr24l780d.pdf;182823_CIMUNIC-07fr24l780dAM.pdf;""
E472;LATINA;48;20/12/2023;22/02/2024;LT;Lazio;181448_CIMUNIC-07lt24e472d.pdf;181448_CIMUNIC-07lt24e472dAM.pdf;""
L120;TERRACINA;10;11/03/2024;23/09/2024;LT;Lazio;187260_CIMUNIC-07lt24l120d.pdf;187260_CIMUNIC-07lt24l120dAM.pdf;""
E204;GROTTAFERRATA;11;21/03/2024;08/04/2024;RM;Lazio;182779_CIMUNIC-07rm24e204d.pdf;182779_CIMUNIC-07rm24e204dAM.pdf;""
F880;NETTUNO;13;14/03/2024;11/10/2024;RM;Lazio;188566_CIMUNIC-07rm24f880d.pdf;188566_CIMUNIC-07rm24f880dAM.pdf;""
B282;BUSALLA;62;18/12/2023;11/01/2024;GE;Liguria;179197_CIMUNIC-08ge24b282d.pdf;179197_CIMUNIC-08ge24b282dAM.pdf;""
G646;PIEVE LIGURE;39;14/12/2023;04/10/2024;GE;Liguria;188062_CIMUNIC-08ge24g646d.pdf;188062_CIMUNIC-08ge24g646dAM.pdf;""
H212;RECCO;46;19/12/2023;07/02/2024;GE;Liguria;180829_CIMUNIC-08ge24h212d.pdf;180829_CIMUNIC-08ge24h212dAM.pdf;""
I225;SANTA MARGHERITA LIGURE;5;18/04/2024;23/05/2024;GE;Liguria;184303_CIMUNIC-08ge24i225d.pdf;184303_CIMUNIC-08ge24i225dAM.pdf;""
M182;ZOAGLI;17;26/04/2024;28/05/2024;GE;Liguria;184477_CIMUNIC-08ge24m182d.pdf;184477_CIMUNIC-08ge24m182dAM.pdf;""
E290;IMPERIA;32;22/05/2024;18/07/2024;IM;Liguria;185795_CIMUNIC-08im24e290d.pdf;185795_CIMUNIC-08im24e290dAM.pdf;""
A373;ARCOLA;78;15/12/2023;22/01/2024;SP;Liguria;179992_CIMUNIC-08sp24a373d.pdf;179992_CIMUNIC-08sp24a373dAM.pdf;""
A932;BOLANO;15;30/09/2020;09/10/2024;SP;Liguria;188442_CIMUNIC-08sp24a932d.pdf;188442_CIMUNIC-08sp24a932dAM.pdf;""
E463;LA SPEZIA;36;18/12/2023;09/01/2024;SP;Liguria;178598_CIMUNIC-08sp24e463d.pdf;178598_CIMUNIC-08sp24e463dAM.pdf;""
E542;LERICI;69;22/12/2023;09/01/2024;SP;Liguria;178776_CIMUNIC-08sp24e542d.pdf;178776_CIMUNIC-08sp24e542dAM.pdf;""
H304;RIOMAGGIORE;32;30/12/2023;24/04/2024;SP;Liguria;183182_CIMUNIC-08sp24h304d.pdf;183182_CIMUNIC-08sp24h304dAM.pdf;""
